in s,C1 in V
-5.9730739E-02,3.91895E+00
-5.9729818E-02,3.91895E+00
-5.9728896E-02,3.87012E+00
-5.9727974E-02,3.88965E+00
-5.9727053E-02,3.89941E+00
-5.9726131E-02,3.87988E+00
-5.9725210E-02,3.88965E+00
-5.9724288E-02,3.92871E+00
-5.9723366E-02,3.89941E+00
-5.9722445E-02,3.89941E+00
-5.9721523E-02,3.91895E+00
-5.9720602E-02,3.91895E+00
-5.9719680E-02,3.90918E+00
-5.9718758E-02,3.88965E+00
-5.9717837E-02,3.87012E+00
-5.9716915E-02,3.90918E+00
-5.9715994E-02,3.92871E+00
-5.9715072E-02,3.89941E+00
-5.9714150E-02,3.89941E+00
-5.9713229E-02,3.89941E+00
-5.9712307E-02,3.87988E+00
-5.9711386E-02,3.89941E+00
-5.9710464E-02,3.87988E+00
-5.9709542E-02,3.87012E+00
-5.9708621E-02,3.88965E+00
-5.9707699E-02,3.85059E+00
-5.9706778E-02,3.87988E+00
-5.9705856E-02,3.85059E+00
-5.9704934E-02,3.82129E+00
-5.9704013E-02,3.86035E+00
-5.9703091E-02,3.86035E+00
-5.9702170E-02,3.87988E+00
-5.9701248E-02,3.88965E+00
-5.9700326E-02,3.88965E+00
-5.9699405E-02,3.91895E+00
-5.9698483E-02,3.88965E+00
-5.9697562E-02,3.86035E+00
-5.9696640E-02,3.87012E+00
-5.9695718E-02,3.83105E+00
-5.9694797E-02,3.87988E+00
-5.9693875E-02,3.84082E+00
-5.9692954E-02,3.88965E+00
-5.9692032E-02,3.87012E+00
-5.9691110E-02,3.84082E+00
-5.9690189E-02,3.87988E+00
-5.9689267E-02,3.87988E+00
-5.9688346E-02,3.85059E+00
-5.9687424E-02,3.85059E+00
-5.9686502E-02,3.83105E+00
-5.9685581E-02,3.85059E+00
-5.9684659E-02,3.87012E+00
-5.9683738E-02,3.85059E+00
-5.9682816E-02,3.87988E+00
-5.9681894E-02,3.85059E+00
-5.9680973E-02,3.86035E+00
-5.9680051E-02,3.83105E+00
-5.9679130E-02,3.87012E+00
-5.9678208E-02,3.83105E+00
-5.9677286E-02,3.84082E+00
-5.9676365E-02,3.86035E+00
-5.9675443E-02,3.85059E+00
-5.9674522E-02,3.85059E+00
-5.9673600E-02,3.80176E+00
-5.9672678E-02,3.83105E+00
